bacterial_species,isolate_code,administrative_region,national_site,local_site,sample_source,replicate,colony,esbl,ampicillin_mic,ampicillin_int,amoxicillin/clavulanic_acid_mic,amoxicillin/clavulanic_acid_int,ceftaroline_mic,ceftaroline_int,cefalexin_mic,cefalexin_int,cefalotin_mic,cefalotin_int,cefpodoxime_mic,cefpodoxime_int,cefotaxime_mic,cefotaxime_int,cefovecin_mic,cefovecin_int,ceftiofur_mic,ceftiofur_int,ceftazidime/avibactam_mic,ceftazidime/avibactam_int,imepenem_mic,imepenem_int,amikacin_mic,amikacin_int,gentamicin_mic,gentamicin_int,neomycin_mic,neomycin_int,nalidixic_acid_mic,nalidixic_acid_int,enrofloxacin_mic,enrofloxacin_int,marbofloxacin_mic,marbofloxacin_int,pradofloxacin_mic,pradofloxacin_int,doxycycline_mic,doxycycline_int,tetracycline_mic,tetracycline_int,nitrofurantoin_mic,nitrofurantoin_int,chloramphenicol_mic,chloramphenicol_int,trimethoprim/sulfamethazole_mic,trimethoprim/sulfamethazole_int,scored_resistance,num_antibiotics_tested,mar_index
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgrwr3c2,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,2,neg,≥32,r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,≤2,s,≤20,s,1,22,0.0455
enterobacter_aerogenes,ec_pgftr1c2,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,2,,,,≥32,r,,s,≥64,r,16,*r,0.5,s,,s,4,i,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,4,s,4,s,64,i,8,s,≤20,s,3,21,0.1429
enterobacter_aerogenes,ec_pgftr1c6,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,6,,,,≥32,r,,s,≥64,r,32,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
enterobacter_aerogenes,ec_pgftr1c7,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,7,,,,≥32,r,,s,≥64,r,16,*r,≤0.25,s,,s,1,s,≤1,s,,s,0.5,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
escherichia_coli,ec_pgftr1c11,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,11,neg,≤2*,*r,≤2,s,,s,≥64,r,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,≥16,r,≥16,r,32,s,8,s,≤20,s,4,22,0.1818
enterobacter_aerogenes,ec_pgftr1c12,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,12,,,,≥32,r,,s,32,r,≥64,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgftr1c15,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,15,neg,16,*r,4,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
enterobacter_aerogenes,ec_pgftr1c16,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,1,16,,,,≥32,r,,s,32,r,≥64,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgftr2c1,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,2,1,neg,16,*r,4,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgftr2c6,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,2,6,neg,16,*r,4,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
enterobacter_aerogenes,ec_pgftr3c5,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,3,5,,,,≥32,r,,s,32,r,32,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
enterobacter_aerogenes,ec_pgftr3c7,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,3,7,,,,≥32,r,,s,≥64,r,≥64,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
escherichia_coli,ec_pgftr3c12,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,3,12,neg,4,s,≤2,s,,s,≤4,s,4,s,≤0.25,s,,s,≥8,r,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,4,s,≤20,s,1,22,0.0455
escherichia_coli,ec_pgfgr1c1,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,1,neg,≥32,r,8,s,,s,8,s,16,i,0.5,s,,s,2,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,≥16,r,≥16,r,64,i,4,s,≥320,r,4,22,0.1818
enterobacter_cloacae_complex,ec_pgfgr1c3,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,3,,,,4,*r,,,≥64,r,16,*r,0.5,s,,s,2,s,2,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,2,s,64,i,4,s,≤20,s,3,20,0.15
enterobacter_aerogenes,ec_pgfgr1c5,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,5,,,,≥32,r,,s,≥64,r,32,r,0.5,s,,s,4,i,≤1,s,,s,0.5,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,4,s,4,s,64,i,8,s,≤20,s,3,21,0.1429
enterobacter_cloacae_complex,ec_pgfgr1c7,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,7,,,,8,*r,,,16,*r,32,r,0.5,s,,s,2,i,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,2,s,64,i,4,s,≤20,s,3,20,0.15
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgfgr1c9,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,9,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgfgr1c10,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,10,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,1,22,0.0455
escherichia_coli,ec_pgfgr1c14,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,14,neg,4,s,≤2,s,,s,8,s,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,8,s,≤20,s,0,22,0
enterobacter_cloacae_complex,ec_pgfgr1c16,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,16,,,,8,*r,,,16,*r,16,*r,0.5,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,<=1,s,32,s,4,s,≤20,s,3,20,0.15
enterobacter_aerogenes,ec_pgfgr1c17,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,17,,,,≥32,r,,s,≥64,r,32,r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,21,0.1429
enterobacter_cloacae_complex,ec_pgfgr1c20,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,1,20,,,,16,*r,,,≥64,r,32,r,1,s,,s,2,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,2,s,64,i,4,s,≤20,s,3,20,0.15
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgfgr3c2,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,2,neg,≥32,r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgfgr3c3,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,3,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,1,22,0.0455
enterobacter_cloacae_complex,ec_pgfgr3c7,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,7,,,,≥32,r,,,≥64,r,32,r,0.5,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,20,0.15
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgfgr3c12,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,12,neg,≥32,r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,≤2,s,≤20,s,1,22,0.0455
enterobacter_aerogenes,ec_pgfgr3c15,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,15,,,,≥32,r,,s,≥64,r,32,r,0.5,s,,s,1,s,4,i,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,<=1,s,128,r,4,s,≤20,s,4,21,0.1905
enterobacter_cloacae_complex,ec_pgfgr3c16,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,16,,,,≥32,r,,s,≥64,r,32,r,0.5,s,,s,1,s,4,i,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,8,s,≤20,s,3,21,0.1429
escherichia_coli,salpgdwr1c1,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,1,1,neg,8,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,≥8,s,2,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,6,22,0.2727
escherichia_coli,salpgdwr1c1,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,1,1,neg,8,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,≥8,r,2,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,7,22,0.3182
escherichia_coli,salpgdwr1c2,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,1,2,neg,≤2,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,1,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≥4,r,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,8,22,0.3636
escherichia_coli,salpgdwr2c3,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,2,3,neg,8,s,≤2,s,,s,≤4,s,4,s,≤0.25,s,,s,≤0.5,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,32,r,≥320,r,5,22,0.2273
escherichia_coli,salpgdwr3c5,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,3,5,neg,8,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,≤0.5,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,32,r,≥320,r,7,22,0.3182
escherichia_coli,salpgdwr3c6,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,3,6,neg,8,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,≤0.5,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,32,r,≥320,r,7,22,0.3182
escherichia_coli,salpgrwr1c1,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,1,neg,4,s,≤2,s,,s,≤4,s,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,4,22,0.1818
salmonella_group,salpgrwr1c3,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,3,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,2,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
escherichia_coli,salpgrwr2c4,region_iii_central_luzon,pampanga,san_gabriel,river_water,2,4,neg,8,s,≤2,s,,s,16,s,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,2,r,≥16,r,≥16,r,32,s,32,r,≥320,r,5,22,0.2273
escherichia_coli,salpgrwr2c8,region_iii_central_luzon,pampanga,san_gabriel,river_water,2,8,neg,4,r,≤2,s,,s,32,r,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,6,22,0.2727
salmonella_group,salpgrwr3c6,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,6,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
escherichia_coli,salpgrwr3c15,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,15,neg,≤2,r,≤2,s,,s,32,r,4,s,≤0.25,s,,s,≤0.5,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,≤0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,7,22,0.3182
escherichia_coli,sgpgrwr1c9,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,9,neg,8,s,≤2,s,,s,8,s,4,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,≤0.25,s,≥16,r,≥16,r,32,s,≥64,r,≥320,r,4,22,0.1818
salmonella_group,sgpgrwr1c10,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,10,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
salmonella_group,sgpgrwr3c1,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,1,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,4,s,≤20,s,4,22,0.1818
escherichia_coli,sgpgrwr3c2,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,2,neg,≤2,s,≤2,s,,s,≤4,r,4,s,≤0.25,s,,s,1,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,≤0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,6,22,0.2727
salmonella_group,salpgftr2c9,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,2,9,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,0.25,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
escherichia_coli,salpgftr2c10,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,2,10,neg,8,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,≤0.5,s,≥8,r,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.5,i,≥16,r,≥16,r,32,s,≥64,r,≥320,r,7,22,0.3182
salmonella_group,salpgftr3c1,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,3,1,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
salmonella_group,salpgftr3c2,region_iii_central_luzon,pampanga,san_gabriel,fish_tilapia,3,2,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
escherichia_coli,salpgfgr2c7,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,2,7,neg,4,s,≤2,s,,s,≤4,s,4,s,≤0.25,s,,s,≤0.5,s,4,i,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,1,i,≤0.5,s,0.25,s,≥16,r,≥16,r,≤16,s,≥64,r,≥320,r,4,22,0.1818
salmonella_group,salpgfgr2c9,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,2,9,,≤2,s,≤2,s,,s,≤4,r,≤2,r,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,r,≤1,r,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,≤1,s,≤16,s,≤2,s,≤20,s,4,22,0.1818
escherichia_coli,sgpgfgr3c5,region_iii_central_luzon,pampanga,san_gabriel,fish_gusaw,3,5,neg,≤2,r,≤2,s,,s,≤64,r,4,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,≤16,r,≤16,r,≤16,s,4,s,≤20,s,4,22,0.1818
